Crude oil for April delivery traded at $37.80 a barrel down 28 cents,Crude oil prices rose to $37.80 per barrel,NO
Oracle had fought to keep the forms from being released,Oracle released a confidential document,NO
iTunes software has seen strong sales in Europe.,Strong sales for iTunes in Europe.,YES
All genetically modified food including soya or maize oil produced from GM soya and maize and food ingredients must be labelled.,Companies selling genetically modified foods don't need labels.,NO
Researchers at the Harvard School of Public Health say that people who drink coffee may be doing a lot more than keeping themselves awake - this kind of consumption apparently also can help reduce the risk of diseases.,Coffee drinking has health benefits.,YES
Eating lots of foods that are a good source of fiber may keep your blood glucose from rising too fast after you eat.,Fiber improves blood sugar control.,YES
The Yankees split Hollywood with something to feel OK about after last night's 5-4 loss to the Dodgers.,Dodgers lose first game ever at Fenway,UNKNOWN
Scientists at the Genome Institute of Singapore (GIS) have discovered the complete genetic sequence of a coronavirus isolated from a Singapore patient with SARS.,Singapore scientists reveal that SARS virus has undergone genetic changes.,UNKNOWN
Phish disbands after a final concert in Vermont on Aug. 15,Rock band Phish holds final concert in Vermont.,YES
Euro-Scandinavian media cheer Denmark v Sweden draw.,Denmark and Sweden tie.,YES
Iraqi militants said Sunday they would behead Kim Sun-Il a 33-year-old translator within 24 hours unless plans to dispatch thousands of South Korean troops to Iraq were abandoned.,translator kidnapped in Iraq,YES
Two Turkish engineers and an Afghan translator kidnapped in December were freed Friday.,translator kidnapped in Iraq,UNKNOWN
If a Mexican approaches the border he's assumed to be trying to illegally cross.,Mexicans continue to illegally cross border,UNKNOWN
Green cards are becoming more difficult to obtain.,Green card is now difficult to receive.,YES
Iran will soon release eight British servicemen detained along with three vessels,British servicemen detained,YES
The wait time for a green card has risen from 21 months to 33 months in those same regions.,It takes longer to get green card.,YES
Coal company stocks got a lift Monday morning after an article in Barron's said the industry was benefiting from soaring natural gas prices and the advent of new power plants that emit less pollution.,Coal stocks rise.,YES
The Royal Navy servicemen being held captive by Iran are expected to be freed today.,British servicemen detained,YES
Total coal stocks with the thermal power stations came down to 9.6 million tonnes on March 3 2003 from 11 million tonnes on October 1 2002.,Coal stocks rise.,NO
Anorexia in males accounted for approximately six percent of cases seen in an eating disorder clinic.,Anorexia becomes common in males.,UNKNOWN
There are discussions in California and Arizona to allow illegal aliens to have driver's licenses.,California driver's licenses granted to illegal immigrants.,NO
South Korea's deputy foreign minister says his country won't change its plan to send three-thousand soldiers to Iraq despite the kidnapping of a South Korean man there.,South Korea continues to send troops.,YES
Clinton's new book is not big seller here.,Clinton's book is a big seller.,NO
The privately owned spacecraft only got about 400 feet into space according to radar measurements but it was enough to confirm that it no longer takes a well-heeled government project to organize space travel.,private spaceship launches,YES
The media always talk about the Dow being up or down a certain number of points.,Dow Jones is down.,UNKNOWN
The Federal Aviation Administration's Associate Administrator for Commercial Space Transportation (FAA/AST) has given license approval to Scaled Composites of Mojave California permitting the firm to expand flight testing of SpaceShipOne  -- a privately-financed rocket plane to carry passengers to suborbital altitude.,Private spaceship launches.,UNKNOWN
The Los Angeles Lakers rolled over the Indiana Pacers in Wednesday's the opening round game of the NBA championship series.,Lakers win the championship.,UNKNOWN
World health officials warned yesterday that West Africa and Central Africa were on the verge of the worst polio outbreak in years stemming from the refusal of a single state in northern Nigeria to vaccinate children against the disease.,African polio outbreak feared,YES
The country's largest private employer Wal-Mart Stores Inc. is being sued by a number of its female employees who claim they were kept out of jobs in management because they are women.,Wal-Mart sued for sexual discrimination,YES
The last polio outbreak in the United States was in 1979.,African polio outbreak feared,UNKNOWN
The Massachusetts Supreme Judicial Court has cleared the way for lesbian and gay couples in the state to marry ruling that government attorneys failed to identify any constitutionally adequate reason to deny them the right.,U.S. Supreme Court in favor of same-sex marriage,YES
In June the Supreme Court ruled that anti-sodomy laws are unconstitutional.,U.S. Supreme Court in favor of same-sex marriage,UNKNOWN
Sharon warns Arafat could be targeted for assassination.,prime minister targeted for assassination,UNKNOWN
Kurdistan Regional Government Prime Minister Dr. Barham Salih was unharmed after an assassination attempt.,prime minister targeted for assassination,YES
Wal-Mart faces huge sex discrimination suit,Wal-Mart faces a sex-discrimination suit,YES
International journalists' organisations are accusing the U.S. government of committing war crimes in Iraq by intentionally firing at war correspondents.,US withdraws war crimes,UNKNOWN
It has become increasingly clear that Iran is making rapid progress toward attaining a nuclear weapons capability as U.S. officials have confirmed the presence of various nuclear sites that Tehran has failed to disclose,Iranian chemical weapons threaten United States.,UNKNOWN
